book_id,book_title,tagline,isbn13,isbn10,author,publisher,year,pages,cover_image,created,updated
2,Save the Cat!,The Last Book on Screenwriting You'll Ever Need,9781615931712,1615931716,Blake Snyder,Michael Wiese Productions,2005,195,book_2.jpeg,,
3,I Could Pee on This,And Other Poems by Cats,9781452121864,1452121869,Francesco Marciuliano,Chronicle Books LLC,2012,112,book_3.jpeg,,
4,LOLcat Bible ,In Teh Beginnin Ceiling Cat Maded Teh Skiez An Da Urfs N Stuffs,9781569757345,1569757348,Martin Grondin,Ulysses Press,2010,176,book_4.jpeg,,
5,The Cat Who Said Cheese,,9780515120271,515120278,Lilian Jackson Braun,Jove Books,1997,272,book_5.jpeg,,
6,I Am a Cat,,9781683351801,1683351800,Galia Bernstein,ABRAMS,2018,32,book_6.jpeg,,
7,Eloquent JavaScript ,A Modern Introduction to Programming,9781593279509,1593279507,Marijn Haverbeke,No Starch Press,2018,450,book_7.jpeg,,
8,JavaScript The Definitive Guide,,9780596101992,596101996,David Flanagan,"O'Reilly Media, Incorporated",2006,994,book_8.jpeg,,
9,The Healing Power of Plants ,The Hero House Plants that Love You Back,9781473567283,1473567289,Fran Bailey,Ebury Publishing,2019,192,book_9.jpeg,,
10,The Encyclopedia of Psychoactive Plants,Ethnopharmacology and Its Applications,9780892819782,892819782,"Christian Rätsch, John Robin Baker",Inner Traditions/Bear,2005,942,book_10.jpeg,,
11,Bicycling science,,9780262731546,262731541,"David Gordon Wilson, Jim Papadopoulos, Frank Rowland Whitt",MIT Press,2004,477,book_11.jpge,,
12,The Stolen Bicycle,,9781925498554,1925498557,Wu Ming-Yi,Text Publishing Company,2017,416,book_12.jpeg,,
13,Origami Dinosaurs for Beginners,,9780486498195,486498190,John Montroll,Dover Publications,2013,48,book_13.jpeg,,
14,90 Packets of Instant Noodles,,9781921361999,1921361999,Deb Fitzpatrick,Fremantle Press,2010,307,book_14.jpeg,,
15,The Ugly Dumpling,,9781938063695,1938063694,Stephanie Campisi ,Mighty Media Kids,2016,32,book_15.jpeg,,
16,Fish Pathology,,9781118222966,1118222962,Ronald J. Roberts,Wiley,2012,592,book_16.jpeg,,
17,The Right Stuff,,9781448181971,1448181976,Tom Wolfe,Random House,2018,448,book_17.jpeg,,
18,Kitty Is Not a Cat: Lights Out,,9780734419750,734419759,Jess Black,Hachette Australia,2020,60,book_18.jpeg,,
19,Behind Every Great Woman is a Great Cat,,9781912785063,1912785064,Justine Solomons-Moat,Michael O'Mara,2019,96,book_19.jpeg,,
20,The Guest Cat,,9780811221511,811221512,Takashi Hiraide,New Directions,2014,144,book_20.jpeg,,
21,Chicken and Noodle Games,141 Fun Activities with Innovative Equipment,9780736063920,736063927,"John Byl, Herwig Baldauf, Pat Doyle, Andy Raithby",Human Kinetics,2007,244,book_21.jpeg,,
